algorytm,tx_count,powtorzenie,czas_ms
sphincs,2000,36,5184.7645
sphincs,2000,37,5099.4914
sphincs,2000,38,4367.6410
sphincs,2000,39,4284.1067
sphincs,2000,40,4269.4273
sphincs,2000,41,4282.2985
sphincs,2000,42,4161.0708
sphincs,2000,43,4352.2585
sphincs,2000,44,4237.6523
sphincs,2000,45,4441.1277
sphincs,2000,46,4371.0998
sphincs,2000,47,4259.2298
sphincs,2000,48,4271.2072
sphincs,2000,49,4176.3946
